Solution Number =1
Step		Time Taken(ms)		Scope 
1266		691		10
1267		923		10
1268		1238		10
1269		1320		10
1270		1145		10
1271		1247		10
1272		1523		10
1273		2565		10
1274		2565		10
1275		1807		9
1276		1819		10
1277		2737		10
1278		2440		10
1279		2454		10
1280		2062		10
1281		2196		9
1282		0		0
1283		546		10
1284		477		10
1285		788		10
1286		614		10
1287		491		10
1288		1354		10
1289		731		10
1290		733		10
1291		834		10
1292		661		10
1293		807		10
1294		929		10
1295		992		10
1296		1062		10
1297		823		10
1298		856		10
1299		850		10
1300		1761		10
1301		1399		10
1302		2995		10
1303		2636		10
1304		2149		10
1305		1758		9
1306		2512		10
1307		0		0
1308		517		10
1309		673		10
1310		772		10
1311		597		10
1312		508		10
1313		825		10
1314		518		10
1315		554		10
1316		885		10
1317		574		10
1318		843		10
1319		843		10
1320		980		10
1321		713		10
1322		835		10
1323		769		10
1324		638		10
1325		754		10
1326		1064		10
1327		2089		10
1328		791		10
1329		1734		10
1330		1084		10
1331		1653		10
1332		2214		9
1333		2919		9
1334		2839		10
1335		2729		10
1336		2603		10
1337		2637		10
1338		0		0
1339		520		10
1340		436		10
1341		470		10
1342		487		10
1343		453		10
1344		643		10
1345		629		10
1346		669		10
1347		546		10
1348		623		10
1349		859		10
1350		1168		10
1351		1051		10
1352		965		10
1353		779		10
1354		781		10
1355		942		10
1356		1083		10
1357		1292		10
1358		1261		10
1359		1664		10
1360		1588		10
1361		1573		10
1362		1889		10
1363		1801		10
1364		1826		9
1365		2843		9
1366		2101		9
1367		2630		9
1368		2710		9
1369		2974		10
1370		1845		9
1371		0		0
1372		502		10
1373		389		10
1374		573		10
1375		527		10
1376		598		10
1377		1193		10
1378		866		10
1379		1278		10
1380		1022		10
1381		1144		10
1382		942		10
1383		691		10
1384		1141		10
1385		1251		10
1386		751		10
1387		1161		10
1388		1068		10
1389		897		10
1390		2354		10
1391		1928		10
1392		1645		10
1393		2561		10
1394		2509		10
1395		1921		9
1396		2502		9
1397		0		0
1398		729		10
1399		471		10
1400		574		10
1401		683		10
1402		738		10
1403		782		10
1404		1223		10
1405		823		10
1406		956		10
1407		958		10
1408		1393		10
1409		787		10
1410		821		10
1411		1466		10
1412		1562		10
1413		981		10
1414		637		10
1415		1179		10
1416		1250		10
1417		1844		10
1418		1297		9
1419		0		0
1420		547		10
1421		407		10
1422		514		10
1423		523		10
1424		411		10
1425		748		10
1426		457		10
1427		884		10
1428		731		10
1429		647		10
1430		679		10
1431		858		10
1432		1403		10
1433		1253		10
1434		929		10
1435		851		10
1436		1277		10
1437		988		10
1438		1827		10
1439		2068		10
1440		2224		10
1441		1719		10
1442		1675		10
1443		1899		10
1444		1943		10
1445		1659		9
1446		2636		9
1447		1940		9
1448		1861		9
1449		1981		9
1450		2109		10
1451		1773		9
1452		0		0
1453		502		10
1454		478		10
1455		503		10
1456		498		10
1457		1015		10
1458		870		10
1459		943		10
1460		708		10
1461		832		10
1462		856		10
1463		873		10
1464		678		10
1465		1785		10
1466		1287		10
1467		888		10
1468		948		10
1469		1368		10
1470		1085		10
1471		973		10
1472		2483		9
1473		2021		9
1474		2326		10
1475		1981		10
1476		2203		10
1477		2484		10
1478		1607		9
1479		2889		9
1480		2483		10
1481		2223		9
1482		1963		9
1483		2961		10
1484		2573		10
1485		2434		9
1486		2826		10
1487		1965		9
1488		2272		9
1489		2290		9
1490		2408		9
1491		1719		9
1492		0		0
1493		525		10
1494		615		10
1495		438		10
1496		513		10
1497		782		10
1498		1046		10
1499		654		10
1500		691		10
1501		755		10
1502		622		10
1503		618		10
1504		880		10
1505		1032		10
1506		965		10
1507		778		10
1508		766		10
1509		1261		10
1510		2266		10
1511		1481		10
1512		2263		9
1513		1582		10
1514		924		10
1515		2985		10
1516		2522		10
1517		2777		10
1518		2474		10
1519		2976		10
1520		2644		10
1521		1575		10
1522		2789		10
1523		2072		9
1524		2213		9
1525		2833		10
1526		2002		10
1527		2412		10
1528		2179		10
1529		1480		9
1530		2924		9
1531		0		0
1532		577		10
1533		518		10
1534		476		10
1535		1103		10
1536		494		10
1537		778		10
1538		858		10
1539		582		10
1540		687		10
1541		606		10
1542		1017		10
1543		905		10
1544		619		10
1545		873		10
1546		924		10
1547		1244		10
1548		1016		10
1549		862		10
1550		954		10
1551		1531		10
1552		1186		10
1553		1739		10
1554		1951		10
1555		2683		10
1556		2039		10
1557		2365		10
1558		2147		10
1559		1880		10
1560		1404		10
1561		1262		9
1562		0		0
1563		462		10
1564		483		10
1565		661		10
1566		646		10
1567		1231		10
1568		791		10
1569		1138		10
1570		833		10
1571		856		10
1572		831		10
1573		795		10
1574		1221		10
1575		1303		10
1576		1077		10
1577		1030		10
1578		1255		10
1579		1246		10
1580		2270		10
1581		1101		10
1582		2689		10
1583		2093		10
1584		2713		10
1585		1971		10
1586		1664		10
1587		1492		9
1588		0		0
1589		541		10
1590		463		10
1591		467		10
1592		487		10
1593		601		10
1594		722		10
1595		796		10
1596		729		10
1597		911		10
1598		631		10
1599		719		10
1600		591		10
1601		1420		10
1602		1182		10
1603		1036		10
1604		797		10

 Total Steps=1605
 Total Time=2110526
 Number of solutions=50
